Code jeu|Nom jeu|Suspendu|Prêt en cours|Réserv active|Date achat|Emplacement|Marque|Année édition|Nb joueurs|Age joueurs|Manque|Type jeu|Nb pièces|Temps jeu|Etat jeu|Descriptif|Lien image|Lien 1|Lien 2|Commentaire|Nb points|Niveau jeu|Classification|Prix estimé|Auteur|Illustrateur|Sur place|Contenu|Mécanisme|Thématique
001|Time brick||||11/10/2021|Cigogne|Ravensburger||1 à 6 joueurs|7+|1 carte|Construction|1|20 min|||||||1|||0|||N|1 chrono 10 briques colorées 59 cartes 1 dé 1 règle du jeu||
002|Méli mel'œuf||||11/10/2021|Fourmi|Gigamic||2 à 4 joueurs|5+||Mémoire|1|20 min|||||||1|||0|||N|4 boites à œufs 44 tuiles oiseaux 24 demi-œufs en mousse 4 coquetiers en bois 1 règle du jeu||
003|Code de Vinci||||11/10/2021|Pendule|Winning moves||2 à 4 joueurs|7+||Déduction|1|15 min|||||||1|||0|||N|12 pièces noir numérotées de 0 à 11 12 pièces blanches numérotées de 0 à 11 1 pièce joker blanche "-" 1 pièce joker noir "-" 1 règle du jeu||
004|Halli galli extreme||||11/10/2021|Cassette|Amigo||2 à 6 joueurs|6+||Rapidité|1|20 min|||||||1|||0|||N|72 cartes (64 fruits, 3 singes, 3 éléphants, cochon) 1 sonnette 1 règle du jeu||
005|Bo Goss||||11/10/2021|Cassette|Djeco||2 à 4 joueurs|6+||7 familles|1|15 min|||||||1|||0|||N|44 cartes phosphorescentes (- 30 cartes "squelette" pastilles vertes) - 12 cartes "squelette cassé" pastilles rouges - 2 jokers) 1 règle du jeu||
007|Mon premier uno||||11/10/2021|Cassette|Mattel||2 à 4 joueurs|3+||Jeu de carte|1|10 min|||||||1|||0|||N|36 cartes géantes règles du jeu||
009|Oudordodo||||11/10/2021|Cassette|Djeco||2 joueurs|4+|1 dodo (sans impact jusque 9 perdus)|Logique|1|5 min|||||||1|||0|||N|24 cartes 16 jetons 9 dodo 2 cartes règle du jeu||
010|Sardines||||11/10/2021|Fourmi|Djeco||2 à 4 joueurs|5+||Mémoire|1|15 min|||||||1|||0|||N|40 cartes "sardines" 10 grande cartes "boite à sardines" 1 règle du jeu||
011|Pouet pouet||||11/10/2021|Cassette|Djeco||2 à 4 joueurs|5+|3 cartes vertes (sans impact)|Jeu de carte|1||||||||1|||0|||N|40 cartes bleues (mimes) 40 cartes oranges (cris) 37 cartes verte (mimes+cris) règles du jeu||
012|Cacofolie||||11/10/2021|Cassette|Gigamic||2 à 6 joueurs|5+||Mémoire|1|15 min|||||||1|||0|||N|45 cartes animaux (3x15) 19 cartes de basse cour 1 règle du jeu||
013|Dalapapa||||11/10/2021|Banane|||2 à 4 joueurs|7+||Jeu de plateau|1|30 min|||||||1|||0|||N|120 dominos en bois double face 1 sac 1 règle du jeu||
014|L'œuf a dit !||||11/10/2021|Sanglier|Ravensburger||1 joueurs|3+||Adresse|1|15 min|||||||1|||0|||N|1 œuf électronique 18 cartes postures 18 cartes gages||
015|Zabifuz||||11/10/2021|Cassette|Djeco||2 à 4 joueurs|6+|1 cartes manquante|Jeu de carte|1|10 min|||||||1|||0|||N|53 cartes||
016|Au secours mon fromage||||11/10/2021|Cassette|||2 à 6 joueurs|5+||Jeu de carte|1|30 min|||||||1|||0|||N|106 cartes 1 règle du jeu||
017|Balllons||||11/10/2021|Cassette|Gigamic||2 à 5 joueurs|3+||Jeu de carte|1|10 min|||||||1|||0|||N|50 cartes une règle du jeu||
019|Puissance 4||P||11/10/2021|Tourne disque|MB||2 joueurs|6+|2 indicateurs de scores1 jetons jaune|Strategie|1|10 min|||||||1|||0|||N|20 jetons rouge 19 jetons jaune 1 base de jeu 1 glissière de fermeture 2 planche cartonnées||
020|PIT||||11/10/2021|Réserve|Repos production||3 à 8 joueurs|8+||7 familles|1|15 min|||||||1|||0|||N|74 cartes 1 sonnette 1 règle du jeu||
